SolutionNum,Move1,Move2,Move3,Move4,Move5,Move6,Move7,Move8,Move9,Move10,Move11,Move12,Move13
4786,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(1, 4)","(10, 3)","(4, 6)","(6, 1)"
4787,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(2, 9)","(10, 3)","(1, 6)","(6, 13)"
4788,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(1, 4)","(3, 8)","(4, 13)"
4789,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(1, 4)","(4, 6)","(3, 10)"
4790,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(1, 4)","(4, 6)","(6, 1)"
4791,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(1, 6)","(2, 9)","(6, 13)"
4792,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(1, 6)","(6, 4)","(2, 7)"
4793,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(1, 6)","(6, 4)","(4, 1)"
4794,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(2, 9)","(1, 6)","(6, 13)"
4795,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(14, 12)","(15, 6)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(3, 8)","(1, 4)","(4, 13)"
4796,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 8)","(14, 12)","(4, 13)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
4797,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 8)","(14, 12)","(6, 13)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4798,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(4, 6)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(3, 10)"
4799,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(4, 6)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(6, 1)"
4800,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(4, 6)","(14, 12)","(10, 3)","(11, 13)","(13, 6)","(3, 10)"
4801,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(4, 6)","(14, 12)","(10, 3)","(11, 13)","(13, 6)","(6, 1)"
4802,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(4, 6)","(14, 12)","(11, 13)","(10, 3)","(13, 6)","(3, 10)"
4803,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(4, 6)","(14, 12)","(11, 13)","(10, 3)","(13, 6)","(6, 1)"
4804,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(13, 6)","(10, 3)","(3, 8)","(4, 13)","(14, 12)","(11, 13)"
4805,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(3, 10)"
4806,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(6, 1)"
4807,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(3, 10)"
4808,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(6, 1)"
4809,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4810,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4811,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4812,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4813,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4814,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 8)","(4, 13)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
4815,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 8)","(6, 13)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4816,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(3, 10)"
4817,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(6, 1)"
4818,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(3, 10)"
4819,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(6, 1)"
4820,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4821,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4822,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4823,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4824,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4825,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(6, 13)","(3, 8)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4826,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(6, 13)","(12, 14)","(3, 8)","(4, 13)","(14, 12)","(11, 13)"
4827,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(11, 13)","(3, 10)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4828,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(11, 13)","(3, 10)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4829,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4830,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4831,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(1, 4)","(14, 12)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4832,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 8)","(1, 4)","(14, 12)","(4, 13)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
4833,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 8)","(1, 4)","(14, 12)","(6, 13)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4834,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 8)","(14, 12)","(1, 4)","(4, 13)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
4835,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 8)","(14, 12)","(1, 4)","(6, 13)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4836,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 8)","(14, 12)","(6, 13)","(1, 4)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4837,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 8)","(14, 12)","(6, 13)","(12, 14)","(1, 4)","(4, 13)","(14, 12)","(11, 13)"
4838,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(4, 6)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(3, 10)"
4839,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(4, 6)","(10, 3)","(14, 12)","(11, 13)","(13, 6)","(6, 1)"
4840,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(4, 6)","(14, 12)","(10, 3)","(11, 13)","(13, 6)","(3, 10)"
4841,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(4, 6)","(14, 12)","(10, 3)","(11, 13)","(13, 6)","(6, 1)"
4842,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(4, 6)","(14, 12)","(11, 13)","(10, 3)","(13, 6)","(3, 10)"
4843,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(4, 6)","(14, 12)","(11, 13)","(10, 3)","(13, 6)","(6, 1)"
4844,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(13, 6)","(10, 3)","(3, 8)","(4, 13)","(14, 12)","(11, 13)"
4845,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(3, 10)"
4846,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(6, 1)"
4847,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(3, 10)"
4848,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(6, 1)"
4849,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4850,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4851,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4852,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4853,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(1, 4)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4854,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(13, 6)","(1, 4)","(10, 3)","(3, 8)","(4, 13)","(14, 12)","(11, 13)"
4855,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(13, 6)","(2, 9)","(10, 3)","(1, 6)","(6, 13)","(14, 12)","(11, 13)"
4856,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(13, 6)","(10, 3)","(1, 4)","(3, 8)","(4, 13)","(14, 12)","(11, 13)"
4857,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(13, 6)","(10, 3)","(1, 6)","(2, 9)","(6, 13)","(14, 12)","(11, 13)"
4858,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(13, 6)","(10, 3)","(2, 9)","(1, 6)","(6, 13)","(14, 12)","(11, 13)"
4859,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(13, 6)","(10, 3)","(3, 8)","(1, 4)","(4, 13)","(14, 12)","(11, 13)"
4860,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(3, 10)"
4861,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(6, 1)"
4862,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(3, 10)"
4863,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(6, 1)"
4864,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4865,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4866,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(11, 13)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4867,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4868,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(1, 4)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4869,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(1, 4)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4870,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(1, 4)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4871,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(1, 4)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4872,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(1, 4)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4873,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(1, 4)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4874,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(1, 4)","(10, 3)","(3, 8)","(4, 13)"
4875,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(1, 4)","(10, 3)","(4, 6)","(3, 10)"
4876,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(1, 4)","(10, 3)","(4, 6)","(6, 1)"
4877,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(2, 9)","(10, 3)","(1, 6)","(6, 13)"
4878,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(1, 4)","(3, 8)","(4, 13)"
4879,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(1, 4)","(4, 6)","(3, 10)"
4880,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(1, 4)","(4, 6)","(6, 1)"
4881,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(1, 6)","(2, 9)","(6, 13)"
4882,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(1, 6)","(6, 4)","(2, 7)"
4883,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(1, 6)","(6, 4)","(4, 1)"
4884,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(2, 9)","(1, 6)","(6, 13)"
4885,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(3, 10)","(14, 12)","(11, 13)","(13, 6)","(10, 3)","(3, 8)","(1, 4)","(4, 13)"
4886,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 8)","(4, 13)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
4887,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 8)","(6, 13)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4888,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(3, 10)"
4889,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(6, 1)"
4890,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(3, 10)"
4891,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(6, 1)"
4892,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4893,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4894,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4895,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4896,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4897,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(6, 13)","(3, 8)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4898,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(6, 13)","(12, 14)","(3, 8)","(4, 13)","(14, 12)","(11, 13)"
4899,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(11, 13)","(3, 10)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4900,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(11, 13)","(3, 10)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4901,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4902,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4903,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(1, 4)","(11, 13)","(3, 10)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4904,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 8)","(1, 4)","(4, 13)","(12, 14)","(6, 13)","(14, 12)","(11, 13)"
4905,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 8)","(1, 4)","(6, 13)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4906,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 8)","(6, 13)","(1, 4)","(12, 14)","(4, 13)","(14, 12)","(11, 13)"
4907,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 8)","(6, 13)","(12, 14)","(1, 4)","(4, 13)","(14, 12)","(11, 13)"
4908,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(3, 10)"
4909,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(4, 6)","(10, 3)","(11, 13)","(13, 6)","(6, 1)"
4910,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(3, 10)"
4911,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(4, 6)","(11, 13)","(10, 3)","(13, 6)","(6, 1)"
4912,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4913,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(11, 13)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4914,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(11, 13)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4915,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4916,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(1, 4)","(11, 13)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4917,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(1, 4)","(4, 6)","(10, 3)","(13, 6)","(3, 10)"
4918,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(1, 4)","(4, 6)","(10, 3)","(13, 6)","(6, 1)"
4919,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(1, 4)","(13, 6)","(10, 3)","(3, 8)","(4, 13)"
4920,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(1, 4)","(13, 6)","(10, 3)","(4, 6)","(3, 10)"
4921,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(1, 4)","(13, 6)","(10, 3)","(4, 6)","(6, 1)"
4922,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(1, 4)","(10, 3)","(3, 8)","(4, 13)"
4923,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(1, 4)","(10, 3)","(4, 6)","(3, 10)"
4924,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(1, 4)","(10, 3)","(4, 6)","(6, 1)"
4925,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(2, 9)","(10, 3)","(1, 6)","(6, 13)"
4926,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(1, 4)","(3, 8)","(4, 13)"
4927,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(1, 4)","(4, 6)","(3, 10)"
4928,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(1, 4)","(4, 6)","(6, 1)"
4929,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(1, 6)","(2, 9)","(6, 13)"
4930,"(4, 1)","(6, 4)","(12, 5)","(7, 2)","(15, 6)","(14, 12)","(3, 10)","(11, 13)","(13, 6)","(10, 3)","(1, 6)","(6, 4)","(2, 7)"
